date,classification
2023-01-01,Fear
2023-01-02,Greed
2023-01-03,Neutral
2023-01-04,Extreme Greed
2023-01-05,Neutral
2023-01-06,Greed
2023-01-07,Neutral
2023-01-08,Fear
2023-01-09,Neutral
2023-01-10,Greed
2023-01-11,Fear
2023-01-12,Neutral
2023-01-13,Neutral
2023-01-14,Greed
2023-01-15,Fear
2023-01-16,Neutral
2023-01-17,Extreme Fear
2023-01-18,Greed
2023-01-19,Neutral
2023-01-20,Fear
2023-01-21,Neutral
2023-01-22,Neutral
2023-01-23,Neutral
2023-01-24,Neutral
2023-01-25,Neutral
2023-01-26,Neutral
2023-01-27,Extreme Greed
2023-01-28,Greed
2023-01-29,Fear
2023-01-30,Greed
2023-01-31,Extreme Greed
2023-02-01,Neutral
2023-02-02,Neutral
2023-02-03,Extreme Fear
2023-02-04,Extreme Fear
2023-02-05,Neutral
2023-02-06,Neutral
2023-02-07,Neutral
2023-02-08,Neutral
2023-02-09,Neutral
2023-02-10,Neutral
2023-02-11,Neutral
2023-02-12,Fear
2023-02-13,Neutral
2023-02-14,Greed
2023-02-15,Extreme Fear
2023-02-16,Neutral
2023-02-17,Greed
2023-02-18,Extreme Fear
2023-02-19,Greed
2023-02-20,Neutral
2023-02-21,Neutral
2023-02-22,Greed
2023-02-23,Extreme Greed
2023-02-24,Neutral
2023-02-25,Neutral
2023-02-26,Greed
2023-02-27,Neutral
2023-02-28,Extreme Fear
2023-03-01,Greed
2023-03-02,Fear
2023-03-03,Greed
2023-03-04,Extreme Greed
2023-03-05,Neutral
2023-03-06,Neutral
2023-03-07,Extreme Fear
2023-03-08,Extreme Fear
2023-03-09,Extreme Greed
2023-03-10,Greed
2023-03-11,Extreme Fear
2023-03-12,Neutral
2023-03-13,Neutral
2023-03-14,Neutral
2023-03-15,Fear
2023-03-16,Neutral
2023-03-17,Fear
2023-03-18,Neutral
2023-03-19,Extreme Fear
2023-03-20,Neutral
2023-03-21,Neutral
2023-03-22,Extreme Fear
2023-03-23,Fear
2023-03-24,Fear
2023-03-25,Extreme Greed
2023-03-26,Greed
2023-03-27,Neutral
2023-03-28,Extreme Greed
2023-03-29,Fear
2023-03-30,Neutral
2023-03-31,Neutral
2023-04-01,Neutral
2023-04-02,Greed
2023-04-03,Greed
2023-04-04,Neutral
2023-04-05,Extreme Greed
2023-04-06,Fear
2023-04-07,Greed
2023-04-08,Greed
2023-04-09,Neutral
2023-04-10,Fear
2023-04-11,Neutral
2023-04-12,Neutral
2023-04-13,Fear
2023-04-14,Neutral
2023-04-15,Neutral
2023-04-16,Fear
2023-04-17,Greed
2023-04-18,Greed
2023-04-19,Fear
2023-04-20,Neutral
2023-04-21,Neutral
2023-04-22,Extreme Fear
2023-04-23,Neutral
2023-04-24,Neutral
2023-04-25,Extreme Fear
2023-04-26,Fear
2023-04-27,Neutral
2023-04-28,Neutral
2023-04-29,Greed
2023-04-30,Extreme Fear
2023-05-01,Extreme Greed
2023-05-02,Neutral
2023-05-03,Greed
2023-05-04,Neutral
2023-05-05,Extreme Greed
2023-05-06,Neutral
2023-05-07,Neutral
2023-05-08,Greed
2023-05-09,Neutral
2023-05-10,Neutral
2023-05-11,Extreme Fear
2023-05-12,Extreme Fear
2023-05-13,Neutral
2023-05-14,Fear
2023-05-15,Neutral
2023-05-16,Neutral
2023-05-17,Neutral
2023-05-18,Neutral
2023-05-19,Neutral
2023-05-20,Neutral
2023-05-21,Extreme Greed
2023-05-22,Extreme Greed
2023-05-23,Neutral
2023-05-24,Neutral
2023-05-25,Extreme Greed
2023-05-26,Neutral
2023-05-27,Extreme Fear
2023-05-28,Neutral
2023-05-29,Extreme Greed
2023-05-30,Fear
2023-05-31,Neutral
2023-06-01,Fear
2023-06-02,Neutral
2023-06-03,Greed
2023-06-04,Fear
2023-06-05,Greed
2023-06-06,Neutral
2023-06-07,Extreme Fear
2023-06-08,Extreme Greed
2023-06-09,Greed
2023-06-10,Fear
2023-06-11,Neutral
2023-06-12,Greed
2023-06-13,Neutral
2023-06-14,Neutral
2023-06-15,Neutral
2023-06-16,Extreme Greed
2023-06-17,Extreme Fear
2023-06-18,Greed
2023-06-19,Extreme Fear
2023-06-20,Extreme Fear
2023-06-21,Greed
2023-06-22,Neutral
2023-06-23,Neutral
2023-06-24,Fear
2023-06-25,Extreme Fear
2023-06-26,Extreme Fear
2023-06-27,Neutral
2023-06-28,Neutral
2023-06-29,Neutral
2023-06-30,Extreme Greed
2023-07-01,Extreme Greed
2023-07-02,Fear
2023-07-03,Neutral
2023-07-04,Greed
2023-07-05,Extreme Greed
2023-07-06,Neutral
2023-07-07,Neutral
2023-07-08,Neutral
2023-07-09,Neutral
2023-07-10,Extreme Fear
2023-07-11,Greed
2023-07-12,Neutral
2023-07-13,Extreme Greed
2023-07-14,Neutral
2023-07-15,Neutral
2023-07-16,Extreme Greed
2023-07-17,Greed
2023-07-18,Fear
2023-07-19,Extreme Greed
2023-07-20,Extreme Greed
2023-07-21,Neutral
2023-07-22,Fear
2023-07-23,Neutral
2023-07-24,Extreme Greed
2023-07-25,Neutral
2023-07-26,Extreme Greed
2023-07-27,Extreme Greed
2023-07-28,Neutral
2023-07-29,Neutral
2023-07-30,Extreme Fear
2023-07-31,Fear
2023-08-01,Fear
2023-08-02,Neutral
2023-08-03,Neutral
2023-08-04,Extreme Fear
2023-08-05,Extreme Fear
2023-08-06,Greed
2023-08-07,Neutral
2023-08-08,Greed
2023-08-09,Greed
2023-08-10,Greed
2023-08-11,Fear
2023-08-12,Fear
2023-08-13,Extreme Fear
2023-08-14,Greed
2023-08-15,Extreme Fear
2023-08-16,Greed
2023-08-17,Fear
2023-08-18,Greed
2023-08-19,Neutral
2023-08-20,Neutral
2023-08-21,Neutral
2023-08-22,Neutral
2023-08-23,Extreme Fear
2023-08-24,Fear
2023-08-25,Extreme Greed
2023-08-26,Neutral
2023-08-27,Neutral
2023-08-28,Greed
2023-08-29,Greed
2023-08-30,Fear
2023-08-31,Fear
2023-09-01,Neutral
2023-09-02,Neutral
2023-09-03,Neutral
2023-09-04,Extreme Greed
2023-09-05,Extreme Fear
2023-09-06,Greed
2023-09-07,Greed
2023-09-08,Neutral
2023-09-09,Greed
2023-09-10,Neutral
2023-09-11,Greed
2023-09-12,Greed
2023-09-13,Neutral
2023-09-14,Fear
2023-09-15,Fear
2023-09-16,Neutral
2023-09-17,Fear
2023-09-18,Greed
2023-09-19,Neutral
2023-09-20,Neutral
2023-09-21,Extreme Fear
2023-09-22,Fear
2023-09-23,Greed
2023-09-24,Fear
2023-09-25,Neutral
2023-09-26,Neutral
2023-09-27,Neutral
2023-09-28,Neutral
2023-09-29,Neutral
2023-09-30,Greed
2023-10-01,Fear
2023-10-02,Greed
2023-10-03,Extreme Greed
2023-10-04,Extreme Greed
2023-10-05,Fear
2023-10-06,Greed
2023-10-07,Neutral
2023-10-08,Fear
2023-10-09,Greed
2023-10-10,Extreme Greed
2023-10-11,Fear
2023-10-12,Greed
2023-10-13,Greed
2023-10-14,Extreme Greed
2023-10-15,Greed
2023-10-16,Greed
2023-10-17,Neutral
2023-10-18,Neutral
2023-10-19,Greed
2023-10-20,Neutral
2023-10-21,Extreme Greed
2023-10-22,Fear
2023-10-23,Greed
2023-10-24,Extreme Greed
2023-10-25,Extreme Fear
2023-10-26,Extreme Fear
2023-10-27,Fear
2023-10-28,Greed
2023-10-29,Extreme Fear
2023-10-30,Greed
2023-10-31,Fear
2023-11-01,Neutral
2023-11-02,Greed
2023-11-03,Neutral
2023-11-04,Neutral
2023-11-05,Neutral
2023-11-06,Neutral
2023-11-07,Neutral
2023-11-08,Neutral
2023-11-09,Fear
2023-11-10,Neutral
2023-11-11,Greed
2023-11-12,Neutral
2023-11-13,Neutral
2023-11-14,Fear
2023-11-15,Extreme Fear
2023-11-16,Greed
2023-11-17,Neutral
2023-11-18,Greed
2023-11-19,Fear
2023-11-20,Greed
2023-11-21,Extreme Greed
2023-11-22,Neutral
2023-11-23,Neutral
2023-11-24,Greed
2023-11-25,Extreme Fear
2023-11-26,Fear
2023-11-27,Neutral
2023-11-28,Extreme Fear
2023-11-29,Neutral
2023-11-30,Neutral
2023-12-01,Fear
2023-12-02,Neutral
2023-12-03,Neutral
2023-12-04,Extreme Greed
2023-12-05,Neutral
2023-12-06,Greed
2023-12-07,Neutral
2023-12-08,Neutral
2023-12-09,Fear
2023-12-10,Greed
2023-12-11,Neutral
2023-12-12,Neutral
2023-12-13,Extreme Fear
2023-12-14,Neutral
2023-12-15,Extreme Greed
2023-12-16,Greed
2023-12-17,Fear
2023-12-18,Greed
2023-12-19,Extreme Fear
2023-12-20,Greed
2023-12-21,Neutral
2023-12-22,Neutral
2023-12-23,Greed
2023-12-24,Neutral
2023-12-25,Greed
2023-12-26,Extreme Fear
2023-12-27,Extreme Greed
2023-12-28,Extreme Greed
2023-12-29,Extreme Fear
2023-12-30,Extreme Fear
2023-12-31,Fear
